🇭🇰港澳台(主线),#genre#
金光布袋戲,http://iptv.4666888.xyz/iptv2A.php?id=38
八度空間,http://iptv.4666888.xyz/iptv2A.php?id=52
韓流美食料理秀,http://iptv.4666888.xyz/iptv2A.php?id=63
娛樂百分百,http://iptv.4666888.xyz/iptv2A.php?id=64
綜藝大贏家,http://iptv.4666888.xyz/iptv2A.php?id=65
SPOTV,http://iptv.4666888.xyz/iptv2A.php?id=2
SPOTV2,http://iptv.4666888.xyz/iptv2A.php?id=1
astroFootball,http://iptv.4666888.xyz/iptv2A.php?id=4
JSPORTS1,http://iptv.4666888.xyz/iptv2A.php?id=6
SkyTennis+,http://iptv.4666888.xyz/iptv2A.php?id=62
TVB Plus,http://r.jdshipin.com/Nr5jq
TVB星河,http://r.jdshipin.com/Voac4
华丽翡翠台,http://r.jdshipin.com/thuYX
无线翡翠频美,https://mytv.cdn.loc.cc/o12.php?id=fct
无线明珠频美,https://mytv.cdn.loc.cc/o12.php?id=mzt
VIUTV'粤频美,https://cdn.163189.xyz/163189/viu
澳视卫星,https://cdn6.163189.xyz/163189/as
澳门体育,https://cdn6.163189.xyz/163189/amty
澳门综艺,https://cdn6.163189.xyz/163189/amzy
澳门莲花,https://cdn6.163189.xyz/163189/amlh
央视综合,https://cdn6.163189.xyz/163189/cctv1
重温经典,https://cdn6.163189.xyz/163189/cwjd
龙华电影,https://cdn8.163189.xyz/163189/lhdy
龙华经典,https://cdn8.163189.xyz/163189/lhjd
龙华偶像,https://cdn8.163189.xyz/163189/lhox
龙华日韩,https://cdn8.163189.xyz/163189/lhrh
龙华戏剧,https://cdn8.163189.xyz/163189/lhxj
CHU综合,https://cdn6.163189.xyz/163189/chu
CH5综合,https://cdn6.163189.xyz/163189/ch5
CH8综合,https://cdn6.163189.xyz/163189/ch8
八度空间,https://cdn6.163189.xyz/163189/8tv
龙华电影,https://cdn8.163189.xyz/163189/lhdy
龙华经典,https://cdn8.163189.xyz/163189/lhjd
龙华偶像,https://cdn8.163189.xyz/163189/lhox
龙华日韩,https://cdn8.163189.xyz/163189/lhrh
龙华戏剧,https://cdn8.163189.xyz/163189/lhxj
Now新闻,https://cdn.163189.xyz/163189/now
Now新闻,http://cdn.163189.xyz/163189/now
澳视卫星,https://cdn6.163189.xyz/163189/as
澳视澳门,https://cdn6.163189.xyz/163189/asam
澳门体育,http://cdn6.163189.xyz/163189/amty
澳门综艺,http://cdn6.163189.xyz/163189/amzy
翡翠台,http://cdn6.163189.xyz/163189/fct4k
八度空间,https://cdn6.163189.xyz/163189/8tv
CH5,https://cdn6.163189.xyz/163189/ch5
CH8,https://cdn6.163189.xyz/163189/ch8
CHU,https://cdn6.163189.xyz/163189/chu
NOW NEWS,http://cdn.163189.xyz/163189/now

香港C+_-频道,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/03.m3u8
tvbs闽南频道,http://61.221.215.25:8800/hls/9/index.m3u8
三立戏剧频道,http://61.221.215.25:8800/hls/41/index.m3u8
中天娱乐频道,http://61.221.215.25:8800/hls/47/index.m3u8
纬来精彩频道,http://61.221.215.25:8800/hls/48/index.m3u8
动物星球频道,http://61.221.215.25:8800/hls/57/index.m3u8

☀️特新Pdtv☀️,#genre#
Plus综合Pdtv,http://rihou.cc:555/tv/[Pd]Plus综合
凤凰中文Pdtv,http://rihou.cc:555/tv/[Pd]凤凰中文
凤凰资讯Pdtv,http://rihou.cc:555/tv/[Pd]凤凰资讯
凤凰香港Pdtv,http://rihou.cc:555/tv/[Pd]凤凰香港
有线新闻Pdtv,http://rihou.cc:555/tv/[Pd]有线新闻
有线综合Pdtv,http://rihou.cc:555/tv/[Pd]有线综合
有线亚剧Pdtv,http://rihou.cc:555/tv/[Pd]有线亚剧
无线新闻Pdtv,http://rihou.cc:555/tv/[Pd]无线新闻
无线翡翠Pdtv,http://rihou.cc:555/tv/[Pd]无线翡翠
无线翡翠4Ktv,http://rihou.cc:555/tv/[Pd]无线翡4K
无线华丽Pdtv,http://rihou.cc:555/tv/[Pd]无线华丽
无线明珠Pdtv,http://rihou.cc:555/tv/[Pd]无线明珠
无线星河Pdtv,http://rihou.cc:555/tv/[Pd]无线星河
无线功夫Pdtv,http://rihou.cc:555/tv/[Pd]无线功夫
澳视澳门Pdtv,http://rihou.cc:555/tv/[Pd]澳视澳门
澳视卫星Pdtv,http://rihou.cc:555/tv/[Pd]澳视卫星
澳门体育Pdtv,http://rihou.cc:555/tv/[Pd]澳门体育
澳门综艺Pdtv,http://rihou.cc:555/tv/[Pd]澳门综艺
澳门莲花Pdtv,http://rihou.cc:555/tv/[Pd]澳门莲花
央视综合Pdtv,http://rihou.cc:555/tv/[Pd]央视综合
重温经典Pdtv,http://rihou.cc:555/tv/[Pd]重温经典
龙华电影Pdtv,http://rihou.cc:555/tv/[Pd]龙华电影
龙华经典Pdtv,http://rihou.cc:555/tv/[Pd]龙华经典
龙华偶像Pdtv,http://rihou.cc:555/tv/[Pd]龙华偶像
龙华日韩Pdtv,http://rihou.cc:555/tv/[Pd]龙华日韩
龙华戏剧Pdtv,http://rihou.cc:555/tv/[Pd]龙华戏剧
CHU综合Pdtv,http://rihou.cc:555/tv/[Pd]CHU综合
CH5综合Pdtv,http://rihou.cc:555/tv/[Pd]CH5综合
CH8综合Pdtv,http://rihou.cc:555/tv/[Pd]CH8综合
八度空间Pdtv,http://rihou.cc:555/tv/[Pd]八度空间

☀️特区新闻☀️,#genre#
有线新闻,http://rihou.cc:555/tv/[Pd]有线新闻
有线新闻,http://rihou.cc:555/tv/[Mt]有线新闻
有线新闻,http://rihou.cc:555/tv/[Hv]有线新闻
有线新闻,http://rihou.cc:555/tv/[FY]有线新闻
有线新闻,http://rihou.cc:555/tv/[Hk]有线新闻
无线新闻,http://rihou.cc:555/tv/[Pd]无线新闻
无线新闻,http://rihou.cc:555/tv/[Mt]无线新闻
无线新闻,http://rihou.cc:555/tv/[Hk]无线新闻
无线新闻,http://rihou.cc:555/tv/[SZ]无线新闻
无线新闻,http://rihou.cc:555/tv/[Bx]无线新闻
Now新闻,http://rihou.cc:555/tv/[Cx]Now新闻
Now新闻,http://rihou.cc:555/tv/[Hk]Now新闻
Now新闻,http://rihou.cc:555/tv/[Mt]Now新闻
中天新闻,http://rihou.cc:555/tv/[Hv]中天新聞
中天新闻,http://rihou.cc:555/tv/[SZ]中天新闻
中天新闻,http://rihou.cc:555/tv/[Us]中天新闻
中天新闻,http://rihou.cc:555/tv/[Bx]中天新闻
寰宇新闻,http://rihou.cc:555/tv/[Hk]寰宇新闻
东森新闻,http://rihou.cc:555/tv/[Hk]东森新闻
中视新闻,http://rihou.cc:555/tv/[Hk]中视新闻
民视新闻,http://rihou.cc:555/tv/[Hk]民视新聞
民视新闻,http://rihou.cc:555/tv/[Hk]民视新闻
台视新闻,http://rihou.cc:555/tv/[Hk]台视新闻
年代新闻,http://rihou.cc:555/tv/[Hk]年代新闻
非凡新闻,http://rihou.cc:555/tv/[Hk]非凡新闻
闽镜新闻,http://rihou.cc:555/tv/[Hk]闽镜新闻
闽壹新闻,http://rihou.cc:555/tv/[Hk]闽壹新闻
tvbS新闻,http://rihou.cc:555/tv/[FY]tvbS新闻
tvbS闽南,http://rihou.cc:555/tv/[Hv]tvbS闽南
凤凰中文,http://rihou.cc:555/tv/[Pd]凤凰中文
凤凰中文,http://rihou.cc:555/tv/[Bx]凤凰中文
凤凰资讯,http://rihou.cc:555/tv/[Pd]凤凰资讯
凤凰资讯,http://rihou.cc:555/tv/[Bx]凤凰资讯
凤凰香港,http://rihou.cc:555/tv/[Pd]凤凰香港
凤凰香港,http://rihou.cc:555/tv/[Bx]凤凰香港

🚀特区电影🚀,#genre#
pₒₚc电影,http://rihou.cc:555/tv/[Hv]pₒₚc电影
pₒₚc电影,http://rihou.cc:555/tv/[Bx]pₒₚc电影
cm+电影,http://rihou.cc:555/tv/[Hv]cm电影
Now星影,http://rihou.cc:555/tv/[Hv]Now星影
Now星影,http://rihou.cc:555/tv/[Bx]Now星影
Now爆谷,http://rihou.cc:555/tv/[Hv]Now爆谷
Now爆谷,http://rihou.cc:555/tv/[Bx]Now爆谷
东森电影,http://rihou.cc:555/tv/[Hk]东森电影
纬来电影,http://rihou.cc:555/tv/[Hk]纬来电影
好莱电影,http://rihou.cc:555/tv/[Hk]好莱电影
龙祥电影,http://rihou.cc:555/tv/[Hk]龙祥电影
美亚电影,http://rihou.cc:555/tv/[Hv]美亚电影
美亚电影,http://rihou.cc:555/tv/[Hv]美亚电影|
美亚电影闽赏,http://rihou.cc:555/tv/[Bx]美亚电影
天映电影,http://rihou.cc:555/tv/[Hk]天映电影
天映频道,http://rihou.cc:555/tv/[Hk]天映频道
天映经典,http://rihou.cc:555/tv/[Hk]天映经典
重温经典,http://rihou.cc:555/tv/[Pd]重温经典
邵氏电影,http://rihou.cc:555/tv/[FY]邵氏电影
邵氏武侠,http://rihou.cc:555/tv/[FY]邵氏武侠
邵氏动作,http://rihou.cc:555/tv/[FY]邵氏动作
邵氏喜剧,http://rihou.cc:555/tv/[FY]邵氏喜剧
Plus综合,http://rihou.cc:555/tv/[Pd]Plus综合
Plus综合,http://rihou.cc:555/tv/[Mt]Plus综合
Plus综合,http://rihou.cc:555/tv/[Bx]Plus综合
有线综合,http://rihou.cc:555/tv/[Mt]有线综合
有线综合,http://rihou.cc:555/tv/[Cx]有线综合
有线亚剧,http://rihou.cc:555/tv/[Pd]有线亚剧
有线赛讯,http://rihou.cc:555/tv/[Mt]有线赛讯
无线翡翠,http://rihou.cc:555/tv/[Mt]无线翡翠
无线翡翠,http://rihou.cc:555/tv/[Bx]无线翡翠
无线翡翠,http://rihou.cc:555/tv/[SZ]无线翡翠
无线华丽,http://rihou.cc:555/tv/[Pd]无线华丽
无线华丽,http://rihou.cc:555/tv/[FY]无线华丽
无线明珠,http://rihou.cc:555/tv/[Mt]无线明珠
无线明珠,http://rihou.cc:555/tv/[Bx]无线明珠
无线翡剧,http://rihou.cc:555/tv/[Hv]无线翡剧
无线明剧,http://rihou.cc:555/tv/[Hv]无线明剧
无线星河,http://rihou.cc:555/tv/[Hv]无线星河
无线星河,http://rihou.cc:555/tv/[Pd]无线星河
无线功夫,http://rihou.cc:555/tv/[Hv]无线功夫
无线功夫,http://rihou.cc:555/tv/[Pd]无线功夫
无线千禧,http://rihou.cc:555/tv/[Bx]无线千禧
无线生活,http://rihou.cc:555/tv/[Hv]无线生活
无线娱乐,http://rihou.cc:555/tv/[PL]无线娱乐
无线赛马,http://rihou.cc:555/tv/[Bx]无线赛马
无线奖门,http://rihou.cc:555/tv/[Hk]无线奖门
无线金曲,http://rihou.cc:555/tv/[Hk]无线金曲
黄金翡翠,http://rihou.cc:555/tv/[Hk]黄金翡翠
黄金华剧,http://rihou.cc:555/tv/[Hv]黄金华剧
HUB娱家,http://rihou.cc:555/tv/[Hk]HUB娱家
HUB都会,http://rihou.cc:555/tv/[Hk]HUB都会
Now华剧,http://rihou.cc:555/tv/[Hv]Now华剧
Now剧集,http://rihou.cc:555/tv/[Hv]Now剧集
Now紫金,http://rihou.cc:555/tv/[Hv]Now紫金
Now财经,http://rihou.cc:555/tv/[Mt]Now财经
Now直播,http://rihou.cc:555/tv/[Mt]Now直播

🚂特区体育🚂,#genre#
Now英超,http://rihou.cc:555/tv/[Hk]Now英超
Now英超壹赏,http://rihou.cc:555/tv/[XS]Now英超
Now英超贰赏,http://rihou.cc:555/tv/[xsI]Now英超
Now体育壹赏,http://rihou.cc:555/tv/[XS]Now体育
Now体育,http://rihou.cc:555/tv/[Mt]Now体育
无线体育,http://rihou.cc:555/tv/[Hk]无线体育
纬来体育,http://rihou.cc:555/tv/[Hk]纬来体育
VIUTV'壹,http://rihou.cc:555/tv/[Mt]VIUTV壹
VIUTV'贰,http://rihou.cc:555/tv/[Mt]VIUTV贰
VIUTV'粤,http://rihou.cc:555/tv/[Mt]VIUTV粤
VIUTV'粤,http://rihou.cc:555/tv/[Cx]VIUTV粤
VIUTV'英,http://rihou.cc:555/tv/[Mt]VIUTV英
RTHK-31,http://rihou.cc:555/tv/[Mt]RTHK-31
RTHK-31,http://rihou.cc:555/tv/[Cx]RTHK-31
RTHK-32,http://rihou.cc:555/tv/[Cx]RTHK-32
wwe格斗,http://rihou.cc:555/tv/[FY]wwe格斗
广东珠江,http://rihou.cc:555/tv/[AtI]广东珠江
广东新闻,http://rihou.cc:555/tv/[AtI]广东新闻
广东民生,http://rihou.cc:555/tv/[AtI]广东民生
广东体育,http://rihou.cc:555/tv/[AtI]广东体育
广东湾区,http://rihou.cc:555/tv/[AtI]广东湾区
广东影视,http://rihou.cc:555/tv/[AtI]广东影视
广东经济,http://rihou.cc:555/tv/[AtI]广东经济
广东少儿,http://rihou.cc:555/tv/[AtI]广东少儿
广东卫视,http://rihou.cc:555/tv/[AtI]广东卫视
广东珠江,http://rihou.cc:555/tv/[At|]广东珠江
广东新闻,http://rihou.cc:555/tv/[At|]广东新闻
广东民生,http://rihou.cc:555/tv/[At|]广东民生
广东体育,http://rihou.cc:555/tv/[At|]广东体育
广东湾区,http://rihou.cc:555/tv/[At|]广东湾区
广东影视,http://rihou.cc:555/tv/[At|]广东影视
广东珠江,http://rihou.cc:555/tv/[Cx]广东珠江
广东体育,http://rihou.cc:555/tv/[Cx]广东体育
广州综合,http://rihou.cc:555/tv/[Cx]广州综合
广州新闻,http://rihou.cc:555/tv/[Cx]广州新闻
广州南国,http://rihou.cc:555/tv/[Cx]广州南国

🇨🇳港台最新,#genre#
Astro AEC,https://o11.163189.xyz/stream/live/aec/
Astro AOD,https://o11.163189.xyz/stream/live/aod/
AstroRio,http://php.jdshipin.com/PLTV/iptv.php?id=aod
CH5,http://cdn6.163189.xyz/163189/ch5
CH8,http://cdn6.163189.xyz/163189/ch8
CHU,http://cdn6.163189.xyz/163189/chu
HOY77,http://cdn.163189.xyz/163189/hoy
HOY77,http://r.jdshipin.com/sFw4S
HOY77,http://php.jdshipin.com/TVOD/iptv.php?id=hoytv2
HOY77,http://php.jdshipin.com/TVOD/iptv.php?id=hoytv
HOY剧集台,http://cdn.163189.xyz/163189/hoyjj
Now新闻,http://cdn.163189.xyz/163189/now
RTHK 31,http://cdn.163189.xyz/163189/rthk31
RTHK 31,http://php.jdshipin.com/TVOD/iptv.php?id=rthk31
RTHK 32,http://cdn.163189.xyz/163189/rthk32
RTHK 32,http://php.jdshipin.com/TVOD/iptv.php?id=rthk32
RTHK31,http://php.jdshipin.com/PLTV/iptv.php?id=rthk31
RTHK32,http://php.jdshipin.com/PLTV/iptv.php?id=rthk32
TVB PLUS(多音轨字幕),https://o11.163189.xyz/stream/tvb/tvbp/
TVBJ1,http://php.jdshipin.com/TVOD/iptv.php?id=j1
TVBPlus,http://r.jdshipin.com/Nr5jq
tvbs闽南频道,http://61.221.215.25:8800/hls/9/index.m3u8
TVBS新闻,http://rihou.cc:555/tv/[FY]tvbS新闻
TVB千禧经典,https://o11.163189.xyz/stream/live/tvbc/
TVB武侠,https://cdn6.163189.xyz/163189/yzwx
TVB星河,https://o11.163189.xyz/stream/live/tvbxh/
TVB星河,http://r.jdshipin.com/Voac4
TVB星河,http://php.jdshipin.com/TVOD/iptv.php?id=xinghe
VIUTV,https://cdn.163189.xyz/163189/viu
VIUTV粤,http://php.jdshipin.com/PLTV/iptv.php?id=viutv2
VIUTV'粤频道,http://cdn.163189.xyz/163189/viu
爱奇艺,https://o11.163189.xyz/stream/live/iqiyi/
澳门Mac,http://php.jdshipin.com/PLTV/iptv.php?id=as
澳门Macau,https://cdn6.163189.xyz/163189/as
澳门莲花,http://cdn6.163189.xyz/163189/amlh
澳门体育,http://cdn6.163189.xyz/163189/amty
澳门综艺,http://cdn6.163189.xyz/163189/amzy
澳视澳门,https://cdn6.163189.xyz/163189/asam
澳视澳门,http://r.jdshipin.com/n2YZI
澳视澳门,http://php.jdshipin.com/PLTV/iptv.php?id=asam
澳视卫星,http://r.jdshipin.com/QFhCq
八度空间,http://cdn6.163189.xyz/163189/8tv
翡翠剧集台,https://6.cdn.loc.cc/163189.php?id=tvbd
翡翠台,https://cdn6.163189.xyz/163189/fct
翡翠台,http://t.061899.xyz/tl/js/js.php?id=tvbfct
翡翠台,http://r.jdshipin.com/qClQf
翡翠台,http://r.jdshipin.com/qrfbg
翡翠台,http://r.jdshipin.com/62WM7
翡翠台,http://r.jdshipin.com/n90gt
翡翠台,http://r.jdshipin.com/GeWKr
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct
翡翠台,http://mytv.cdn.loc.cc/o12.php?id=fct
翡翠台(多音轨字幕),https://o11.163189.xyz/stream/tvb/fct/
翡翠台4K,https://o11.163189.xyz/stream/tvb/fct4k/
凤凰香港,https://cdn6.163189.xyz/163189/fhhk
凤凰香港,http://r.jdshipin.com/yDoTN
凤凰香港,http://j.s.bkpcp.top/js/fhxg
凤凰中文,https://cdn6.163189.xyz/163189/fhzw
凤凰中文,http://219.145.93.74:10000/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0$陕西电信酒店
凤凰中文,http://t.061899.xyz/tl/js/js.php?id=fhwszwt
凤凰中文,http://r.jdshipin.com/cCCzW
凤凰中文,http://j.s.bkpcp.top/js/fhzw
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰资讯,https://cdn6.163189.xyz/163189/fhzx
凤凰资讯,http://t.061899.xyz/tl/js/js.php?id=fhwszxt
凤凰资讯,http://r.jdshipin.com/0Rp07
凤凰资讯,http://j.s.bkpcp.top/js/fhzx
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
公视,http://74.91.26.218:82/live/pts.m3u8
公视台语台,http://74.91.26.218:82/live/ptsty.m3u8
华藏卫视,http://61.216.67.119:1935/HZTV/HZTV/chunklist.m3u8
华藏卫视,http://61.216.67.119:1935/HZTV/HZTV/playlist.m3u8
华藏卫视,https://5ddce30eb4b55.streamlock.net/HZTV/HZTV/playlist.m3u8
华丽翡翠,http://php.jdshipin.com/TVOD/iptv.php?id=huali2
华丽翡翠台,http://r.jdshipin.com/thuYX
华丽翡翠台(多音轨字幕),https://o11.163189.xyz/stream/live/hlt/
华丽翡翠台(新加坡),https://o11.163189.xyz/stream/live/jade/
华视,http://74.91.26.218:82/live/cts.m3u8
华文八套,https://francais-livews.cgtn.com/hls/LSvev95OuFZtKLc6CeKEFYXj220802LSTeV6PO0Ut9r71Uq3k5goCA220802cd/playlist.m3u8
华文七套,https://arabic-livews.cgtn.com/hls/LSveq57bErWLinBnxosqjisZ220802LSTefTAS9zc9mpU08y3np9TH220802cd/playlist.m3u8
华文三套,https://espanol-livews.cgtn.com/hls/LSveOGBaBw41Ea7ukkVAUdKQ220802LSTexu6xAuFH8VZNBLE1ZNEa220802cd/playlist.m3u8
华文四套,https://english-livetx.cgtn.com/hls/yypdyyctzb_hd.m3u8
华文五套,https://russian-livews.cgtn.com/hls/LSvexABhNipibK5KRuUkvHZ7220802LSTeze9o8tdFXMHsb1VosgoT220802cd/playlist.m3u8
环球电视频道,http://utv1.hqtvzb.com:9999/hls/world.m3u8
镜新闻,https://d36dgdk71xuzzg.cloudfront.net/v1/manifest/3a2ac8e6b6c76471996ebf627393d9c9417a60b6/linetv-6-627778910172-MediaTailor-production/c9b2313d-efdd-4777-9fae-573be8a86755/0.m3u8
镜新闻,https://d36dgdk71xuzzg.cloudfront.net/v1/manifest/3a2ac8e6b6c76471996ebf627393d9c9417a60b6/linetv-6-627778910172-MediaTailor-production/f4d56046-82ba-474e-8499-ab2353dc7a9b/1.m3u8
龙华电影台,http://cdn8.163189.xyz/163189/lhdy
龙华经典台,http://cdn8.163189.xyz/163189/lhjd
龙华偶像台,http://cdn8.163189.xyz/163189/lhox
龙华日韩台,http://cdn8.163189.xyz/163189/lhrh
龙华戏剧台,http://cdn8.163189.xyz/163189/lhxj
民视第一台,http://74.91.26.218:82/live/ftvdy.m3u8
民视台湾台,http://74.91.26.218:82/live/ftvtw.m3u8
民视新闻台,http://74.91.26.218:82/live/ftvnews.m3u8
明珠台,http://r.jdshipin.com/ZQ4kN
明珠台,http://r.jdshipin.com/jUx8K
明珠台,http://mytv.cdn.loc.cc/o12.php?id=mzt
明珠台(多音轨字幕),https://o11.163189.xyz/stream/tvb/mzt/
人间卫视,http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u
人间卫视,http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u8
人间卫视,https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/playlist.m3u8
人间卫视,https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/chunklist_w511254805.m3u8
三時繫念法會,https://sg1.amtb.de/liveedge/_definst_/smil:sanshi_720p.smil/chunklist_w156722507_b828000.m3u8
生命电视,http://61.216.67.119:1935/lifetv/lifetv.stream/manifest.m3u8
生命电视,https://5ddce30eb4b55.streamlock.net/lifetv/lifetv.stream/playlist.m3u8
台视,http://74.91.26.218:82/live/ttv.m3u8
台视财经,http://74.91.26.218:82/live/ttvcj.m3u8
台视新闻,http://74.91.26.218:82/live/ttvnews.m3u8
台视综合,http://74.91.26.218:82/live/ttvzh.m3u8
台湾|卍佛卫慈悲台,https://btsw-ott2b.cdn.hinet.net/live_bts/btsw01/playlist.m3u8
台湾|唯心WXTV2,http://61.216.67.119:1935/wxtv/wxtv.stream/playlist.m3u8
唐人卫视,https://ntd02.akamaized.net/HD-NY/tracks-v3a1/mono.m3u8
网络念佛堂,https://sg1.amtb.de/liveedge/_definst_/smil:amtb.smil/chunklist_w1128537717_b428000.m3u8
唯心,http://mobile.ccdntech.com/transcoder/_definst_/vod164_Live/live/playlist.m3u8
唯心,http://mobile.ccdntech.com/transcoder/_definst_/vod164_Live/live/chunklist_w1177047531.m3u8
唯心,https://mobile.ccdntech.com/transcoder/_definst_/vod164_Live/live/chunklist_w1177047531.m3u8
唯心,https://5ddce30eb4b55.streamlock.net/wxtv/wxtvnow.stream/playlist.m3u8
纬来精彩频道,http://61.221.215.25:8800/hls/48/index.m3u8
无线翡翠,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct
无线翡翠,http://php.jdshipin.com/TVOD/iptv.php?id=fct3
无线功夫,http://php.jdshipin.com/PLTV/iptv.php?id=yzwx
无线明珠(英),http://php.jdshipin.com/TVOD/iptv.php?id=mzt
无线新闻,https://cdn6.163189.xyz/163189/wxxw
无线新闻,http://beishan008.asuscomm.com:8890/bysid/83.m3u8
无线新闻台,http://r.jdshipin.com/CkuBd
悟道法师,https://tw2.amtb.de/liveedge/_definst_/smil:wdmaster.smil/playlist.m3u8
香港C+_-频道,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/03.m3u8
香港佛陀,https://sg1.amtb.de/liveedge/_definst_/smil:livetv.smil/chunklist_w1071093527_b828000.m3u8
香港卫视,http://webcast.hkstv.tv/livestream/mutfysrq/playlist.m3u8
小公视,http://74.91.26.218:82/live/ptsse.m3u8
星空国际,http://202.80.222.20/cdn/iptv/Tvod/001/channel2000023/1024.m3u8
娱乐新闻,https://cdn6.163189.xyz/163189/ylxw
娱乐新闻,http://php.jdshipin.com/TVOD/iptv.php?id=tvbylxw
中视,http://74.91.26.218:82/live/ctv.m3u8
中视经典,http://74.91.26.218:82/live/ctvjd.m3u8
中视菁采,http://74.91.26.218:82/live/ctvjc.m3u8
中视新闻,http://74.91.26.218:82/live/ctvnews.m3u8

🇭🇰极速港澳①线,#genre#
凤凰中文,http://r.jdshipin.com/cCCzW
凤凰资讯,http://r.jdshipin.com/0Rp07
凤凰香港,http://r.jdshipin.com/yDoTN
凤凰中文备,http://cdn6.163189.xyz/163189/fhzw
凤凰资讯备,http://cdn6.163189.xyz/163189/fhzx
凤凰香港备,http://cdn6.163189.xyz/163189/fhhk
TVB1,http://cdn6.163189.xyz/163189/tvb1
TVBJ,http://cdn6.163189.xyz/163189/j1
TVBDRA,http://cdn6.163189.xyz/163189/tvbd
镜新闻台,https://d36dgdk71xuzzg.cloudfront.net/v1/manifest/3a2ac8e6b6c76471996ebf627393d9c9417a60b6/linetv-6-627778910172-MediaTailor-production/81c30c93-82df-49c9-975c-61a17204cbba/1.m3u8
TVBS新闻,http://jnzq.ohoyee.com:9080/live/xingjiaoge-tvbsxw.m3u8
TVB PLUS,http://o11.163189.xyz/stream/tvb/tvbp/
寰宇新闻,http://jnzq.ohoyee.com:9080/live/xiangjiaoge-hyxw.m3u8
翡翠台,http://o11.163189.xyz/stream/tvb/fct/
翡翠台备用,http://mytv.cdn.loc.cc/o12.php?id=fct
廣東體育,http://67.220.71.199:2347/livehttpplay?channel_id=12028
TVB亞洲劇臺,http://67.220.71.199:2347/livehttpplay?channel_id=13022
